,id,forma_pago,status
2520,DFLIGB7F,efectivo,pagado
2521,GJIWGBSB,efectivo,pagado
2522,IJOOGB30,tarjeta,pagado
2523,KIAOGBSA,transferencia,pagado
2524,LFJHGB8R,transferencia,pagado
2525,PRDZGB9Y,efectivo,pagado
2526,EKHLGBH2,transferencia,pagado
2527,CEBPGB37,tarjeta,pagado
2528,PQWFGBFO,efectivo,pagado
2529,FDCRGB7D,efectivo,pagado
2530,PYTOGBD3,transferencia,pagado
2531,CFOBGB1Q,transferencia,pagado
2532,LAGDGBNB,efectivo,pendiente
2533,YVENGBKQ,transferencia,pagado
2534,JDKDGB2Q,tarjeta,pagado
2535,ZRPXGB72,efectivo,pagado
2536,DZZLGBWY,tarjeta,pagado
2537,XYGFGB7C,efectivo,pagado
2538,UBMBGB7Z,efectivo,pagado
2539,ZIXOGBYP,tarjeta,pagado
2540,KAYRGBUD,transferencia,pendiente
2541,DVGXGBGV,transferencia,pagado
2542,VDLCGB17,transferencia,pagado
2543,MTNCGBZL,tarjeta,pagado
2544,URTAGB56,tarjeta,pagado
2545,SLRZGBBD,efectivo,pagado
2546,GHCIGBOV,transferencia,pendiente
2547,DVCBGBZ6,tarjeta,pagado
2548,EGHMGBB4,transferencia,pendiente
2549,BAUBGBP0,transferencia,pagado
2550,YEROGB83,transferencia,pagado
2551,OIFTGBGN,transferencia,pagado
2552,ITQDGBLW,efectivo,pagado
2553,ILYAGB63,tarjeta,pagado
2554,FVINGB9F,transferencia,pagado
2555,SWWDGBFT,efectivo,pendiente
2556,YIYJGBA7,efectivo,pagado
2557,TAPIGB3K,tarjeta,pagado
2558,VRRTGB9R,tarjeta,pagado
2559,WATFGBQY,transferencia,pagado
2560,YIBMGB9N,transferencia,pagado
2561,IDHNGBR5,tarjeta,pagado
2562,QRUEGBFE,tarjeta,pagado
2563,GFXJGBOJ,efectivo,pagado
2564,RRKTGB84,efectivo,pagado
2565,WDEGGBPX,efectivo,pagado
2566,XBKPGBXE,transferencia,pagado
2567,RSVAGB2V,efectivo,pagado
2568,XNLRGB8X,tarjeta,pagado
2569,WJRNGBPU,tarjeta,pagado
2570,PMRZGBZF,transferencia,pagado
2571,REZAGBYW,tarjeta,pagado
2572,HUPRGBAB,efectivo,pagado
2573,RVCSGBBN,transferencia,pagado
2574,GMLYGB8X,tarjeta,pagado
2575,KGFVGB0Y,efectivo,pagado
2576,BQKFGB15,transferencia,pagado
2577,VIMOGBK2,efectivo,pendiente
2578,GYIIGBXY,efectivo,pagado
2579,KUHBGB1K,transferencia,pagado
2580,AXFYGB0D,transferencia,pagado
2581,QZZUGBMZ,transferencia,pagado
2582,IXTDGB35,tarjeta,pagado
2583,HBBWGB5R,tarjeta,pendiente
2584,QPBDGBG3,tarjeta,pagado
2585,MUYUGB21,tarjeta,pagado
2586,YUKBGBFZ,efectivo,pagado
2587,DKFNGB5F,efectivo,pagado
2588,TWUTGBXH,efectivo,pagado
2589,TLYGGBTG,transferencia,pagado
2590,LTAVGB7J,efectivo,pagado
2591,RWMJGB09,tarjeta,pagado
2592,ESJHGBLN,transferencia,pagado
2593,SYDFGBV4,tarjeta,pendiente
2594,LKMSGBAL,transferencia,pagado
2595,HQWEGBK6,tarjeta,pendiente
2596,KKOFGB3V,transferencia,pagado
2597,UKKLGBAB,efectivo,pagado
2598,MFWLGBIS,tarjeta,pagado
2599,GDHZGBMD,tarjeta,pagado
2600,ZZUVGBF9,transferencia,pagado
2601,ETOKGBNU,transferencia,pagado
2602,LQBYGB9D,transferencia,pagado
2603,RBTZGB8E,transferencia,pagado
2604,TXAGGBGN,efectivo,pagado
2605,APTOGBDX,transferencia,pagado
2606,FRKSGBKO,efectivo,pagado
2607,MADVGBC1,efectivo,pagado
2608,IHQHGBIG,efectivo,pagado
2609,EEJNGB92,efectivo,pagado
2610,FGEMGBSX,transferencia,pagado
2611,ORHPGBI2,transferencia,pagado
2612,EXBSGBMI,efectivo,pagado
2613,CDLLGBPP,efectivo,pagado
2614,PHDMGBBW,efectivo,pendiente
2615,KZPFGBZ3,efectivo,pagado
2616,RNVRGBZ9,transferencia,pagado
2617,XNBVGB4L,efectivo,pagado
2618,TYFLGBSX,tarjeta,pagado
2619,PCCAGB4N,transferencia,pagado
2620,YXNHGBMC,tarjeta,pagado
2621,QAGWGBP1,efectivo,pagado
2622,AZIAGBCP,efectivo,pagado
2623,NFJUGBRM,tarjeta,pagado
2624,APVXGBBS,transferencia,pendiente
2625,FQZMGBQT,tarjeta,pagado
2626,QVUXGBVW,tarjeta,pagado
2627,CKOZGBVG,efectivo,pagado
2628,EXRWGBNR,transferencia,pagado
2629,WZEMGBID,tarjeta,pagado
2630,WYBUGB30,tarjeta,pagado
2631,HSIEGBEE,transferencia,pagado
2632,SQRHGB6N,tarjeta,pagado
2633,FBRWGBZ8,efectivo,pagado
2634,ODVRGB8N,tarjeta,pagado
2635,MWIIGBP3,efectivo,pagado
2636,QIWOGBKT,tarjeta,pagado
2637,AFSWGBB3,transferencia,pagado
2638,OWIDGB1R,transferencia,pagado
2639,ZWEHGB2H,transferencia,pagado
2640,SVRSGBFB,efectivo,pagado
2641,XBPTGB5H,transferencia,pagado
2642,OIUSGBK0,tarjeta,pagado
2643,MCIRGBTZ,transferencia,pagado
2644,ACAUGBQ1,efectivo,pagado
2645,ZCNYGB13,tarjeta,pagado
2646,RXMXGBUA,transferencia,pagado
2647,OMAEGBFC,efectivo,pagado
2648,PZBZGBO1,transferencia,pagado
2649,RNTXGBYO,tarjeta,pagado
2650,SHBWGBV5,efectivo,pagado
2651,EIILGB0J,transferencia,pendiente
2652,UKJNGBHG,efectivo,pagado
2653,SLEWGBZU,tarjeta,pagado
2654,UYCLGBCH,transferencia,pagado
2655,BFYJGBYT,transferencia,pendiente
2656,RMJUGB46,tarjeta,pagado
2657,LNVQGBFC,tarjeta,pagado
2658,MDHWGB95,transferencia,pagado
2659,LWCOGB7M,tarjeta,pagado
2660,PBAOGB4W,tarjeta,pagado
2661,BNKUGB2G,transferencia,pagado
2662,OEXMGBTM,efectivo,pagado
2663,DPMEGBQU,tarjeta,pagado
2664,YRPDGBY3,transferencia,pagado
2665,PAFSGB6O,efectivo,pagado
2666,WBLMGBRB,transferencia,pagado
2667,JGCFGBWE,transferencia,pendiente
2668,KXLOGB2S,transferencia,pagado
2669,RSEMGBD1,transferencia,pagado
2670,LVSWGBL4,efectivo,pagado
2671,OYBXGB1F,transferencia,pagado
2672,YDPRGBGX,transferencia,pagado
2673,ILTHGB2W,transferencia,pagado
2674,XYMSGBEN,efectivo,pagado
2675,OTTWGBOR,efectivo,pagado
2676,AKFLGBIL,efectivo,pagado
2677,YRFSGB17,efectivo,pagado
2678,MWQNGBD0,tarjeta,pagado
2679,HYZWGBVT,tarjeta,pagado
2680,JRPKGBGA,efectivo,pagado
2681,DJIPGBS8,efectivo,pagado
2682,CANNGBJS,efectivo,pagado
2683,LJNHGB6H,tarjeta,pagado
2684,PRJJGBT3,efectivo,pagado
2685,NUVAGB74,tarjeta,pagado
2686,LOXSGBIR,tarjeta,pagado
2687,VBLDGBRZ,tarjeta,pagado
2688,XZHSGBXQ,transferencia,pagado
2689,XNALGB7W,efectivo,pagado
2690,XOUYGBD4,transferencia,pagado
2691,BLKJGBU6,efectivo,pagado
2692,ONICGBMJ,efectivo,pagado
2693,QOMIGB4T,transferencia,pagado
2694,EJRZGB4F,tarjeta,pagado
2695,SEPEGBWR,transferencia,pagado
2696,ERNYGB67,transferencia,pagado
2697,TEMZGB59,transferencia,pagado
2698,RZGLGB1Y,tarjeta,pagado
2699,UTWEGBNM,tarjeta,pagado
2700,OANAGBLB,tarjeta,pagado
2701,OUEYGBNJ,transferencia,pagado
2702,DGXBGBF5,transferencia,pagado
2703,UFMTGBJ8,tarjeta,pagado
2704,OWBKGBWG,transferencia,pagado
2705,SLVTGB7Q,transferencia,pendiente
2706,GRLXGBO9,tarjeta,pendiente
2707,FQNBGB3O,transferencia,pagado
2708,SMUAGBQM,transferencia,pagado
2709,AYZIGBWH,transferencia,pagado
2710,RYOOGBAV,efectivo,pagado
2711,QDYLGBRT,tarjeta,pagado
2712,XOZBGBHV,tarjeta,pagado
2713,LNBSGBYS,tarjeta,pagado
2714,PNEGGBED,tarjeta,pagado
2715,VLSXGBPG,transferencia,pagado
2716,FHSUGB6M,efectivo,pagado
2717,REKMGB1T,efectivo,pagado
2718,UTQJGB2T,efectivo,pagado
2719,PWDKGBZ1,tarjeta,pagado
2720,IIDUGBED,tarjeta,pagado
2721,RLUAGB0G,efectivo,pagado
2722,YTCJGBX4,efectivo,pagado
2723,QJRZGBFF,tarjeta,pagado
2724,DJEDGB81,transferencia,pagado
2725,PRVHGBUZ,transferencia,pendiente
2726,VHSSGB93,tarjeta,pagado
2727,GYMPGBQE,efectivo,pagado
2728,XPYPGBVL,transferencia,pagado
2729,URQIGB0S,efectivo,pagado
2730,JDUDGB88,efectivo,pagado
2731,XCUSGBNW,transferencia,pagado
2732,EMFJGBSY,tarjeta,pagado
2733,MBQNGBDL,transferencia,pagado
2734,NBFGGBEJ,tarjeta,pendiente
2735,UUSZGBUT,transferencia,pendiente
2736,LRIVGBJ7,efectivo,pagado
2737,ZERXGBKC,efectivo,pagado
2738,KXKWGB3N,tarjeta,pagado
2739,DMXYGBKK,tarjeta,pendiente
2740,NMQWGB0R,transferencia,pagado
2741,IDYGGBRY,transferencia,pagado
2742,JFMNGBSS,efectivo,pagado
2743,AIXTGBNZ,transferencia,pagado
2744,JKJTGBBH,transferencia,pagado
2745,FEPDGBZX,transferencia,pagado
2746,KEMIGBQW,tarjeta,pagado
2747,QXKLGBH9,transferencia,pagado
2748,HMDIGBNZ,efectivo,pagado
2749,HUWFGBYX,efectivo,pagado
2750,ROZDGBIQ,transferencia,pendiente
2751,SIOQGBLI,efectivo,pendiente
2752,DVNTGBFJ,transferencia,pagado
2753,BQZYGBBI,transferencia,pagado
2754,LAHCGBCZ,tarjeta,pagado
2755,PLEGGBEA,transferencia,pagado
2756,AHRYGBVP,tarjeta,pagado
2757,VTIOGBVT,efectivo,pagado
2758,YDTCGBTN,efectivo,pagado
2759,CDITGB7G,tarjeta,pagado
2760,DIRWGBPQ,transferencia,pagado
2761,RNOLGB0D,transferencia,pagado
2762,SWIYGBNW,tarjeta,pagado
2763,PERKGB6B,transferencia,pagado
2764,ORMVGBGB,transferencia,pagado
2765,GGGBGB6Y,efectivo,pagado
2766,UJLGGBDK,transferencia,pagado
2767,QIODGBOL,tarjeta,pagado
2768,OUXDGBP9,tarjeta,pagado
2769,SOUOGBWM,efectivo,pagado
2770,BDTKGBBI,tarjeta,pagado
2771,VEGCGBCZ,tarjeta,pagado
2772,TSIPGB9S,efectivo,pagado
2773,SWZDGB79,tarjeta,pagado
2774,FXSLGBAF,tarjeta,pagado
2775,XKQNGBI0,tarjeta,pagado
2776,LYAFGBFL,tarjeta,pagado
2777,DHGZGBHB,tarjeta,pagado
2778,JMBUGBKD,efectivo,pagado
2779,ORCJGBZ3,transferencia,pendiente
2780,MRSRGBSD,transferencia,pagado
2781,GSLMGB7N,transferencia,pagado
2782,JGQJGBN9,transferencia,pendiente
2783,WIOAGBU8,efectivo,pagado
2784,NTVZGBH7,transferencia,pagado
2785,XJOMGBWS,efectivo,pagado
2786,RAKXGB72,tarjeta,pagado
2787,ALFCGBBT,efectivo,pendiente
2788,FQFLGBOE,efectivo,pagado
2789,EGJEGBKN,transferencia,pagado
2790,HBSYGBKI,efectivo,pagado
2791,MASCGB6M,tarjeta,pagado
2792,CAXAGB8O,tarjeta,pagado
2793,VKESGBQC,efectivo,pagado
2794,HSMIGBDV,transferencia,pagado
2795,IKTHGBI3,efectivo,pagado
2796,NWQKGBIQ,tarjeta,pagado
2797,BZEYGBQN,efectivo,pagado
2798,NJDHGBFD,transferencia,pendiente
2799,FYMGGBX9,tarjeta,pagado
2800,WMEKGBTJ,efectivo,pagado
2801,VQENGB0U,tarjeta,pagado
2802,AJJYGBTA,efectivo,pagado
2803,IJFCGB96,tarjeta,pagado
2804,RWSUGBDX,efectivo,pagado
2805,BNQSGB4C,efectivo,pendiente
2806,SBZAGBR4,tarjeta,pagado
2807,RRUWGBF2,transferencia,pagado
2808,ZWDQGBER,transferencia,pagado
2809,LMKIGBH9,transferencia,pagado
2810,TEFAGB6F,tarjeta,pagado
2811,KWSUGB90,tarjeta,pendiente
2812,AUDGGBDX,efectivo,pendiente
2813,LUBTGBC1,efectivo,pagado
2814,PRBCGBP7,tarjeta,pagado
2815,EDGPGBTB,efectivo,pagado
2816,JIRWGBW4,efectivo,pagado
2817,MJDTGBLX,tarjeta,pendiente
2818,OYHTGB4N,transferencia,pagado
2819,IQYKGBQQ,efectivo,pagado
2820,SXRIGBNE,efectivo,pendiente
2821,OMTKGB81,tarjeta,pagado
2822,LYJMGBXZ,tarjeta,pagado
2823,XWYLGBZH,tarjeta,pagado
2824,JUCEGB9Q,transferencia,pagado
2825,FDZXGBD6,efectivo,pagado
2826,HCAFGBEW,efectivo,pagado
2827,MYGQGBJ8,efectivo,pagado
2828,AXVGGB2G,tarjeta,pagado
2829,PHOXGBSZ,efectivo,pagado
2830,IOQTGB4W,transferencia,pagado
2831,RJYGGBB0,efectivo,pagado
2832,VFVTGBV2,tarjeta,pagado
2833,CVERGB1H,tarjeta,pagado
2834,HBKOGBXL,transferencia,pagado
2835,HHCVGBSH,transferencia,pendiente
2836,UNGQGBJV,tarjeta,pagado
2837,BWJFGBRS,transferencia,pagado
2838,DLWPGB9X,transferencia,pagado
2839,ZYUVGBQC,transferencia,pagado
2840,VSJCGBXD,transferencia,pagado
2841,PKGEGBUK,transferencia,pendiente
2842,UCTFGB88,tarjeta,pagado
2843,ZDSAGBST,tarjeta,pendiente
2844,KKVIGBZM,tarjeta,pagado
2845,XEAWGBNC,tarjeta,pagado
2846,ZDCXGBNK,transferencia,pagado
2847,JFLOGBS2,efectivo,pagado
2848,UWJBGBN9,tarjeta,pagado
2849,OPCYGBM1,tarjeta,pagado
2850,BFKBGB9V,efectivo,pagado
2851,VUPQGBNI,efectivo,pendiente
2852,OCKAGB80,efectivo,pagado
2853,TFCKGBAU,efectivo,pagado
2854,JGPPGBEU,transferencia,pagado
2855,QMJQGBQW,tarjeta,pagado
2856,WLQBGB84,transferencia,pagado
2857,MNNWGBA0,transferencia,pagado
2858,EWHPGBP3,transferencia,pagado
2859,GVKVGB9W,transferencia,pendiente
2860,JOXJGBGF,tarjeta,pagado
2861,RQYMGB6E,efectivo,pagado
2862,HAYZGBT0,tarjeta,pagado
2863,UPCEGBF6,efectivo,pagado
2864,ZNBRGBSJ,tarjeta,pagado
2865,THLAGB2F,tarjeta,pagado
2866,NWZUGBJ6,transferencia,pendiente
2867,QTYBGBV9,transferencia,pagado
2868,UXMLGB3Q,transferencia,pagado
2869,UJFDGBD3,efectivo,pagado
2870,VPBUGB2F,efectivo,pagado
2871,NWRZGBPM,transferencia,pagado
2872,HENAGBT9,transferencia,pendiente
2873,BNAVGBEG,tarjeta,pagado
2874,PHSUGBX2,transferencia,pagado
2875,TBVGGBGZ,transferencia,pagado
2876,CVBYGB3V,efectivo,pagado
2877,TAXFGBW6,transferencia,pagado
2878,QCBHGBOH,transferencia,pagado
2879,IHBZGBOB,transferencia,pagado
2880,NUKRGB2A,efectivo,pendiente
2881,AATNGBVP,efectivo,pendiente
2882,FSRHGBE0,efectivo,pagado
2883,AJFRGBBH,tarjeta,pagado
2884,LWASGB7U,efectivo,pagado
2885,PXAPGBMM,transferencia,pagado
2886,JXRUGBP8,tarjeta,pagado
2887,CZZRGBGD,efectivo,pagado
2888,QSVFGB44,efectivo,pagado
2889,MBYMGBRQ,transferencia,pendiente
2890,WJQZGBNU,efectivo,pagado
2891,EXFYGBST,transferencia,pagado
2892,WUJPGB27,transferencia,pagado
2893,AMZQGBBB,efectivo,pagado
2894,JCNGGBI6,transferencia,pagado
2895,SUVRGBYJ,efectivo,pagado
2896,VRLTGBE8,transferencia,pagado
2897,BFBYGBPP,efectivo,pagado
2898,OBFSGBON,efectivo,pagado
2899,GSEOGBB4,efectivo,pendiente
2900,NNODGBWF,efectivo,pagado
2901,IDEKGBP5,tarjeta,pagado
2902,SDCYGBVG,tarjeta,pagado
2903,HDXYGB74,transferencia,pagado
2904,PAIFGBBG,tarjeta,pagado
2905,UDZRGBM6,transferencia,pagado
2906,UKZVGBO9,transferencia,pagado
2907,GCNBGBVP,transferencia,pagado
2908,YEELGBDJ,efectivo,pendiente
2909,YSXSGB5D,efectivo,pagado
2910,NGSAGBDA,tarjeta,pendiente
2911,SZNBGBB6,transferencia,pagado
2912,PADKGBTH,efectivo,pagado
2913,XQSKGB84,efectivo,pagado
2914,WOWXGBW8,tarjeta,pagado
2915,OCIOGBAI,efectivo,pagado
2916,MOKMGBMH,transferencia,pagado
2917,IXFXGBGY,transferencia,pagado
2918,PBJTGB86,tarjeta,pagado
2919,RNGRGBO3,tarjeta,pagado
2920,CURPGB8T,tarjeta,pagado
2921,TPLJGB0Y,efectivo,pagado
2922,WCFVGBOG,tarjeta,pagado
2923,LTKOGBTK,tarjeta,pagado
2924,RBSRGBES,transferencia,pendiente
2925,HECAGB2J,efectivo,pagado
2926,KEGHGBPB,tarjeta,pagado
2927,JYIMGBKF,efectivo,pagado
2928,QYHAGBNW,tarjeta,pagado
2929,EYJLGBKR,efectivo,pagado
2930,DSQNGBXI,tarjeta,pagado
2931,JLCHGBXB,transferencia,pagado
2932,GUJRGBRU,transferencia,pagado
2933,VESPGB90,transferencia,pagado
2934,TEVOGB60,tarjeta,pagado
2935,XYGXGBAX,tarjeta,pagado
2936,KXBZGBX3,efectivo,pagado
2937,LRGDGBBX,transferencia,pagado
2938,WAQWGBCQ,transferencia,pagado
2939,VQEPGBT3,tarjeta,pagado
2940,GZWXGBVC,tarjeta,pagado
2941,RGWJGBLZ,transferencia,pendiente
2942,NCEJGB0K,tarjeta,pagado
2943,VQOJGB7C,efectivo,pendiente
2944,BVYPGBXX,efectivo,pagado
2945,XVKWGBRR,tarjeta,pagado
2946,DTRSGB3D,tarjeta,pagado
2947,SMDUGBD7,tarjeta,pagado
2948,XDZOGBQ3,efectivo,pendiente
2949,IPIMGBTO,transferencia,pagado
2950,RBGIGBEM,efectivo,pagado
2951,EUTPGBLM,efectivo,pagado
2952,EUCEGBZ9,transferencia,pagado
2953,KTXHGBE2,tarjeta,pagado
2954,ISJSGBD2,tarjeta,pagado
2955,OTWXGBQV,tarjeta,pagado
2956,BCHLGB73,tarjeta,pagado
2957,URNGGB7H,tarjeta,pagado
2958,IOHXGB9T,transferencia,pagado
2959,WEMUGBJI,transferencia,pendiente
2960,ERWSGB58,tarjeta,pagado
2961,XFLNGB6P,tarjeta,pagado
2962,IFAYGBFL,tarjeta,pagado
2963,IWBAGBGS,efectivo,pagado
2964,NRBIGBNC,efectivo,pagado
2965,MQIVGBME,tarjeta,pagado
2966,JLQVGB0K,transferencia,pagado
2967,IARYGB4S,tarjeta,pagado
2968,KHQWGBEF,transferencia,pagado
2969,YLNBGB4R,efectivo,pagado
2970,NWKKGBZS,tarjeta,pagado
2971,TPMLGB8Y,tarjeta,pendiente
2972,VOYIGBPL,transferencia,pagado
2973,OLCBGBXC,efectivo,pagado
2974,ELMCGBZI,tarjeta,pagado
2975,HKYXGB0J,transferencia,pagado
2976,QJLPGB0N,tarjeta,pagado
2977,JRJXGBVQ,transferencia,pagado
2978,JWQTGBNI,transferencia,pagado
2979,SZAIGB21,transferencia,pagado
2980,QFRNGBCF,tarjeta,pagado
2981,BAUKGBWU,tarjeta,pagado
2982,CBAYGBBO,transferencia,pagado
2983,BKDDGB7R,transferencia,pagado
2984,XHULGBAM,tarjeta,pagado
2985,THRZGBCJ,efectivo,pagado
2986,FZNSGBH6,efectivo,pendiente
2987,OGXSGBX3,efectivo,pagado
2988,XMJTGB7Z,transferencia,pagado
2989,SGMLGBZ5,tarjeta,pagado
2990,UOQRGBCU,tarjeta,pagado
2991,LMJRGBG1,transferencia,pagado
2992,ISSBGBB9,efectivo,pagado
2993,CXUJGBS6,tarjeta,pendiente
2994,OUMSGBC6,transferencia,pagado
2995,OZFGGBZD,efectivo,pagado
2996,VXWMGBE9,efectivo,pendiente
2997,JXHHGBA3,transferencia,pagado
2998,DCGIGBR9,tarjeta,pagado
2999,RGHEGBEU,efectivo,pagado
3000,AEIWGB3D,tarjeta,pagado
3001,BQSFGBM1,tarjeta,pagado
3002,NNVFGBDQ,tarjeta,pagado
3003,DCDDGBFR,transferencia,pagado
3004,IFDIGBUV,tarjeta,pagado
3005,JCRPGBAO,tarjeta,pagado
3006,DMIFGBV6,transferencia,pagado
3007,PYXCGBYM,transferencia,pagado
3008,VTHJGBGA,transferencia,pagado
3009,EICCGBYD,efectivo,pagado
3010,MHNCGBM2,transferencia,pagado
3011,UIRCGBPD,transferencia,pendiente
3012,TJVCGBDS,efectivo,pagado
3013,FPOTGBZ6,efectivo,pagado
3014,XSFEGBWQ,efectivo,pagado
3015,JLBOGB37,tarjeta,pagado
3016,RLPGGBQL,transferencia,pagado
3017,QZCGGB46,transferencia,pagado
3018,NIZQGB3W,transferencia,pagado
3019,YBBEGBYW,efectivo,pagado
3020,HAHWGBQB,tarjeta,pagado
3021,UKETGBVE,efectivo,pagado
3022,MEYNGB97,transferencia,pendiente
3023,ILTIGBI0,efectivo,pagado
3024,RAWOGBCM,transferencia,pagado
3025,ONMBGBQ0,transferencia,pagado
3026,DFCAGBD6,efectivo,pendiente
3027,OAHLGB56,transferencia,pagado
3028,UEQKGBVJ,tarjeta,pagado
3029,YVBCGBX1,efectivo,pagado
3030,PUNKGB62,transferencia,pagado
3031,ALFXGBJZ,transferencia,pagado
3032,XYJKGBH2,tarjeta,pagado
3033,JOPLGB24,tarjeta,pagado
3034,SIFKGB62,tarjeta,pagado
3035,THHPGBV3,efectivo,pagado
3036,MPIJGBYE,efectivo,pagado
3037,XMBKGBXI,tarjeta,pagado
3038,JYJGGB9J,tarjeta,pagado
3039,VZBYGB9X,transferencia,pagado
3040,FBMBGBI0,transferencia,pagado
3041,TBMEGBJN,efectivo,pagado
3042,HFQLGB0U,tarjeta,pendiente
3043,OBDKGBY6,tarjeta,pagado
3044,YRHYGBAO,efectivo,pagado
3045,WNSRGBC8,transferencia,pagado
3046,IQCCGBI7,efectivo,pagado
3047,VVWFGB5C,tarjeta,pagado
3048,HSJLGBN2,efectivo,pagado
3049,POIMGBWC,efectivo,pendiente
3050,LZLKGBFG,efectivo,pagado
3051,BFJOGBN8,efectivo,pagado
3052,QOJSGBVC,transferencia,pagado
3053,OURHGBCQ,efectivo,pagado
3054,MUAEGB66,transferencia,pagado
3055,TOHEGBKM,efectivo,pagado
3056,IUFPGBPD,transferencia,pagado
3057,JKBOGBJ6,efectivo,pagado
3058,AEHZGBO1,tarjeta,pagado
3059,RYSUGBWR,transferencia,pagado
3060,BEHQGBWO,transferencia,pagado
3061,QRWLGBV1,efectivo,pagado
3062,XJNGGB8O,transferencia,pagado
3063,TDBKGBFG,tarjeta,pagado
3064,ETUBGBWG,efectivo,pagado
3065,YJWEGBBX,transferencia,pagado
3066,WJENGBHS,tarjeta,pagado
3067,SNWEGBAX,transferencia,pagado
3068,POPHGBSY,transferencia,pagado
3069,PWLNGBYG,transferencia,pendiente
3070,LVXYGBTS,tarjeta,pagado
3071,JGEDGBOT,transferencia,pagado
3072,NHOJGBJ2,transferencia,pagado
3073,XDGPGBSV,tarjeta,pagado
3074,IERWGB6L,efectivo,pendiente
3075,URSDGBTB,transferencia,pagado
3076,QXTBGBUH,transferencia,pagado
3077,QYIBGBGM,transferencia,pagado
3078,KBYOGBBW,transferencia,pagado
3079,RFQOGBW2,efectivo,pagado
3080,WZPBGBRD,efectivo,pagado
3081,RSKQGBAB,transferencia,pagado
3082,HCDUGBFY,efectivo,pagado
3083,KBRFGB86,tarjeta,pagado
3084,FXTPGB3L,transferencia,pagado
3085,NOLWGB3K,efectivo,pagado
3086,XMKAGBBL,transferencia,pagado
3087,SSZZGB2V,transferencia,pagado
3088,DRRSGBB2,tarjeta,pagado
3089,PBEEGB6H,efectivo,pagado
3090,KQJSGBRJ,efectivo,pagado
3091,ONJYGBST,tarjeta,pagado
3092,INTRGB29,tarjeta,pendiente
3093,PZDYGB0Q,efectivo,pagado
3094,NDKAGB6D,efectivo,pagado
3095,ZDAPGB5A,transferencia,pagado
3096,BYUWGBBZ,tarjeta,pagado
3097,FNPZGBU5,efectivo,pagado
3098,AGNAGBF9,efectivo,pagado
3099,GOHBGB62,efectivo,pagado
3100,YFBDGBMU,tarjeta,pagado
3101,GZQMGB5A,transferencia,pagado
3102,OUPPGB5N,tarjeta,pagado
3103,LAMWGB94,transferencia,pagado
3104,CEGPGBCQ,transferencia,pagado
3105,NFAJGB0M,transferencia,pagado
3106,LSEMGB1W,efectivo,pagado
3107,RSRJGBF0,tarjeta,pagado
3108,HAQDGB44,efectivo,pagado
3109,XTTAGB2K,efectivo,pagado
3110,QHLAGBB4,efectivo,pagado
3111,OVGLGBDK,tarjeta,pagado
3112,ALEKGBE4,tarjeta,pagado
3113,VXTSGBZZ,tarjeta,pagado
3114,TAHFGB4R,efectivo,pendiente
3115,YBDDGBF0,efectivo,pagado
3116,OODVGB21,transferencia,pagado
3117,ULZBGB2R,transferencia,pendiente
3118,HCCJGBRR,efectivo,pagado
3119,XZURGBGS,transferencia,pagado
3120,ZTMDGB9D,transferencia,pagado
3121,YJNXGB3D,transferencia,pagado
3122,YGBPGBS6,transferencia,pagado
3123,ELDPGBZS,transferencia,pagado
3124,DNVTGB9J,tarjeta,pagado
3125,JSHTGB1X,efectivo,pagado
3126,CQOCGBE7,tarjeta,pendiente
3127,CICHGBWG,tarjeta,pagado
3128,OUUBGBH3,tarjeta,pendiente
3129,LHJKGBN4,efectivo,pagado
3130,SLBAGBQF,transferencia,pagado
3131,DWNKGBNG,transferencia,pagado
3132,TUSDGB15,transferencia,pagado
3133,MWCZGBYV,transferencia,pagado
3134,XXLQGBVN,efectivo,pagado
3135,JWOYGBBW,tarjeta,pagado
3136,HPFKGBIA,transferencia,pagado
3137,MKFLGBZ6,tarjeta,pagado
3138,WJXTGBFS,efectivo,pagado
3139,BFEWGB2C,tarjeta,pagado
3140,UEYKGBVN,efectivo,pendiente
3141,VBSGGBOF,transferencia,pagado
3142,UKAZGBKO,tarjeta,pagado
3143,KYGKGBLD,efectivo,pagado
3144,GNGEGBF7,tarjeta,pagado
3145,DJPHGBJD,efectivo,pagado
3146,AJINGBCQ,tarjeta,pagado
3147,NJGJGBPI,tarjeta,pagado
3148,JEACGBD5,tarjeta,pagado
3149,SKKQGB9Q,efectivo,pagado
3150,DGPHGBYN,tarjeta,pagado
3151,LADZGBBR,transferencia,pagado
3152,OLSYGBMM,efectivo,pagado
3153,WVGVGBZY,tarjeta,pagado
3154,BICJGBEZ,tarjeta,pagado
3155,CYVZGB6T,transferencia,pagado
3156,XNDBGBPC,tarjeta,pagado
3157,HTGUGBOQ,tarjeta,pagado
3158,JTJFGBQO,tarjeta,pendiente
3159,ULAAGBYF,efectivo,pagado
3160,VBICGBG9,tarjeta,pagado
3161,WBIDGBOI,transferencia,pagado
3162,GYLJGBXD,tarjeta,pendiente
3163,KHDRGBUA,tarjeta,pagado
3164,GIGWGB5Y,tarjeta,pagado
3165,VEKAGB5A,transferencia,pagado
3166,RIVOGBLU,efectivo,pagado
3167,NKEIGBUB,transferencia,pagado
3168,UJJFGBN1,transferencia,pagado
3169,AZBHGB7V,efectivo,pagado
3170,BBBYGB4M,tarjeta,pagado
3171,XTFBGBHR,tarjeta,pagado
3172,ZFYYGB3O,efectivo,pagado
3173,BQMIGBA2,efectivo,pagado
